onet_soc_code,pk_title,pk_pathway,pk_relevant,entrepreneurial_track
29-1141.00,"Nurse (BSN)","FSc Pre-Medical → BS Nursing",true,false
17-2141.00,"Mechanical Engineer","FSc Pre-Engineering → BE/BS Mechanical",true,false
15-1252.00,"Software Developer","ICS or FSc Pre-Engineering → BS Computer Science",true,false
13-2011.00,"Accountant / Auditor","ICom or FSc → BBA/B.Com → CA/ACCA",true,false
25-2021.00,"Primary School Teacher","FA/FSc → B.Ed or BS Education",true,false
47-2111.00,"Electrician","Matric → DAE Electrical (3-year diploma)",true,false
31-9091.00,"Dental Assistant","FSc Pre-Medical → Dental Assistant diploma",true,false
11-1021.00,"Small Business Owner / Trader","ICom or FSc → BBA",true,true
41-1011.00,"Retail Franchise Operator","Matric/FA → direct entry or retail management diploma",true,true
11-9013.00,"Agri-Business Manager","FSc Pre-Medical or Pre-Engineering → BS Agriculture",true,true
